Title,Year,Duration,IMDB_Rating,Genres
Seul sur Mars,2015,2h 24min,"8,0","Space Sci-Fi, Survival, Adventure, Drama, Sci-Fi"
Terminator,1984,1h 47min,"8,1","Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Time Travel, Urban Adventure, Action, Adventure, Sci-Fi"
Avengers : L'Ère d'Ultron,2015,2h 21min,"7,3","Artificial Intelligence, Superhero, Urban Adventure, Action, Adventure, Sci-Fi"
Scarface,1983,2h 50min,"8,3","Drug Crime, Epic, Gangster, Tragedy, Crime, Drama"
Le Pianiste,2002,2h 30min,"8,5","Docudrama, Epic, Period Drama, Tragedy, War Epic, Biography, Drama, Music, War"
Snatch : Tu braques ou tu raques,2000,1h 44min,"8,2","Caper, Dark Comedy, Gangster, Comedy, Crime"
Requiem for a Dream,2000,1h 42min,"8,3","Psychological Drama, Tragedy, Drama"
Spider-Man: No Way Home,2021,2h 28min,"8,2","Superhero, Supernatural Fantasy, Urban Adventure, Action, Adventure, Fantasy, Sci-Fi"
Dune: Première partie,2021,2h 35min,"8,0","Desert Adventure, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi"
Thor,2011,1h 55min,"7,0","Superhero, Supernatural Fantasy, Action, Fantasy"
Captain America : Le Soldat de l'hiver,2014,2h 16min,"7,7","Conspiracy Thriller, Political Thriller, Superhero, Urban Adventure, Action, Adventure, Sci-Fi, Thriller"
Iron Man 3,2013,2h 10min,"7,1","Superhero, Urban Adventure, Action, Adventure, Sci-Fi"
Toy Story 3,2010,1h 43min,"8,3","Computer Animation, Supernatural Fantasy, Urban Adventure, Adventure, Animation, Comedy, Family, Fantasy"
The Grand Budapest hotel,2014,1h 39min,"8,1","Caper, Quirky Comedy, Adventure, Comedy, Crime"
Spider-Man,2002,2h 1min,"7,4","Superhero, Urban Adventure, Action, Adventure, Sci-Fi"
Orange mécanique,1971,2h 16min,"8,2","Dark Comedy, Dystopian Sci-Fi, Crime, Sci-Fi"
12 Hommes en colère,1957,1h 36min,"9,0","Legal Drama, Psychological Drama, Crime, Drama"
The Revenant,2015,2h 36min,"8,0","Period Drama, Survival, Western Epic, Action, Adventure, Drama, Western"
Le Hobbit : Un Voyage Inattendu,2012,2h 49min,"7,8","Adventure Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Fantasy"
Slumdog Millionaire,2008,2h,"8,0","Coming-of-Age, Teen Drama, Crime, Drama, Romance"
